#Absolute values for three populations of individuals 
# day     A1            A2             A3 
  1    89255.194    160175.019         0.000   
  2   177956.254      6462.050      5159.140   
  3    93486.608     32093.937       375.844   
  4   238018.869     87386.454         0.000   
  5   126924.878     99419.160         0.000   
  6   158020.982     85613.133         0.000   
  7   177472.781     43976.982         0.000   
  8   156762.075     46551.591      5391.168   
  9   191958.599     90943.270     13915.071   
  10  172272.997     96606.654     15118.831  
  11  166642.729    114003.909     18289.397  
  12  183776.066    126455.997     13930.600  
  13   98757.713    128810.009     33560.116  
  14   91672.909    143076.948     46263.673  
  15   14171.770    127354.701     68638.974  
  16   19562.468    116616.756     52973.632  
  17   77477.586    116235.015     73344.326  
  18   18052.564    140522.060    154077.098  
  19   22020.316    117389.038    138013.382  
  20   23230.000    123123.000    112881.449  
  21   32030.968    158719.448    278336.423  
  22   15460.544     83060.423    207540.951  
  23   26916.501    112416.032    228671.223  
  24   19677.215     83650.574    164442.867  
  25    5256.802     20958.095    141665.805  
  26    4942.855     88880.999    124722.821  
  27   23978.745     92261.902    115376.715  
